# x_original y_original y_fitted
71.547700 2.419838e-21 2.187102e-20
71.644000 2.411148e-21 2.136576e-20
71.740200 2.402954e-21 2.085942e-20
71.836500 2.395250e-21 2.035103e-20
71.932700 2.388032e-21 1.984173e-20
72.028900 2.381294e-21 1.933108e-20
72.125200 2.375029e-21 1.881863e-20
72.221400 2.369233e-21 1.830553e-20
72.317700 2.363900e-21 1.779080e-20
72.413900 2.359025e-21 1.727560e-20
72.510200 2.354603e-21 1.675893e-20
72.606400 2.350629e-21 1.624196e-20
72.702600 2.347098e-21 1.572423e-20
72.798900 2.344005e-21 1.520529e-20
72.895100 2.341346e-21 1.468629e-20
72.991400 2.339117e-21 1.416625e-20
73.087600 2.337313e-21 1.364631e-20
73.183900 2.335931e-21 1.312549e-20
73.280100 2.334966e-21 1.260494e-20
73.376300 2.334417e-21 1.208421e-20
73.472600 2.334278e-21 1.156283e-20
73.568800 2.334548e-21 1.104197e-20
73.665100 2.335223e-21 1.052062e-20
73.761300 2.336301e-21 9.999946e-21
73.857600 2.337779e-21 9.478940e-21
73.953800 2.339655e-21 8.958764e-21
74.050000 2.341929e-21 8.438953e-21
74.146300 2.344596e-21 7.919045e-21
74.242500 2.347658e-21 7.400196e-21
74.338800 2.351112e-21 6.881402e-21
74.435000 2.354957e-21 6.363816e-21
74.531300 2.359193e-21 5.846437e-21
74.627500 2.363819e-21 5.330413e-21
74.723800 2.368836e-21 4.814745e-21
74.820000 2.374243e-21 4.300578e-21
74.916200 2.380041e-21 3.787446e-21
75.012500 2.386230e-21 3.274891e-21
75.108700 2.392812e-21 2.764047e-21
75.205000 2.399786e-21 2.253925e-21
75.301200 2.407156e-21 1.745652e-21
75.397500 2.414922e-21 1.238242e-21
75.493700 2.423086e-21 7.328181e-22
75.589900 2.431650e-21 2.289201e-22
75.686200 2.440618e-21 -2.739056e-22
75.782400 2.449991e-21 -7.745476e-22
75.878700 2.459772e-21 -1.273980e-21
75.974900 2.469966e-21 -1.771101e-21
76.071200 2.480574e-21 -2.266877e-21
76.167400 2.491602e-21 -2.760216e-21
76.263600 2.503053e-21 -3.251568e-21
76.359900 2.514932e-21 -3.741378e-21
76.456100 2.527242e-21 -4.228567e-21
76.552400 2.539990e-21 -4.714085e-21
76.648600 2.553180e-21 -5.196862e-21
76.744900 2.566817e-21 -5.677842e-21
76.841100 2.580909e-21 -6.155966e-21
76.937300 2.595459e-21 -6.631675e-21
77.033600 2.610476e-21 -7.105400e-21
77.129800 2.625965e-21 -7.576102e-21
77.226100 2.641934e-21 -8.044699e-21
77.322300 2.658390e-21 -8.510163e-21
77.418600 2.675340e-21 -8.973406e-21
77.514800 2.692793e-21 -9.433410e-21
77.611100 2.710756e-21 -9.891076e-21
77.707300 2.729238e-21 -1.034540e-20
77.803500 2.748248e-21 -1.079681e-20
77.899800 2.767795e-21 -1.124571e-20
77.996000 2.787888e-21 -1.169112e-20
78.092300 2.808538e-21 -1.213391e-20
78.188500 2.829753e-21 -1.257312e-20
78.284800 2.851546e-21 -1.300960e-20
78.381000 2.873925e-21 -1.344241e-20
78.477200 2.896903e-21 -1.387195e-20
78.573500 2.920490e-21 -1.429861e-20
78.669700 2.944698e-21 -1.472146e-20
78.766000 2.969539e-21 -1.514133e-20
78.862200 2.995025e-21 -1.555730e-20
78.958500 3.021168e-21 -1.597020e-20
79.054700 3.047980e-21 -1.637912e-20
79.150900 3.075476e-21 -1.678446e-20
79.247200 3.103667e-21 -1.718657e-20
79.343400 3.132568e-21 -1.758459e-20
79.439700 3.162190e-21 -1.797930e-20
79.535900 3.192549e-21 -1.836985e-20
79.632200 3.223657e-21 -1.875699e-20
79.728400 3.255529e-21 -1.913990e-20
79.824600 3.288178e-21 -1.951893e-20
79.920900 3.321619e-21 -1.989444e-20
80.017100 3.355864e-21 -2.026561e-20
80.113400 3.390928e-21 -2.063317e-20
80.209600 3.426824e-21 -2.099633e-20
80.305900 3.463565e-21 -2.135580e-20
80.402100 3.501166e-21 -2.171080e-20
80.498300 3.539638e-21 -2.206168e-20
80.594600 3.578994e-21 -2.240877e-20
80.690800 3.619245e-21 -2.275130e-20
80.787100 3.660404e-21 -2.308996e-20
80.883300 3.702480e-21 -2.342401e-20
80.979600 3.745484e-21 -2.375413e-20
81.075800 3.789423e-21 -2.407959e-20
81.172100 3.834306e-21 -2.440104e-20
81.268300 3.880139e-21 -2.471779e-20
81.364500 3.926927e-21 -2.503015e-20
